Field Name,Field Label,Field Type,Field Help,Model,Related Model,Required
message_attachment_count,Attachment Count,integer,,Sales Order,,
message_follower_ids,Followers,one2many,,Sales Order,mail.followers,
message_has_error,Message Delivery error,boolean,"If checked, some messages have a delivery error.",Sales Order,,
message_has_error_counter,Number of errors,integer,Number of messages with delivery error,Sales Order,,
message_has_sms_error,SMS Delivery error,boolean,"If checked, some messages have a delivery error.",Sales Order,,
message_ids,Messages,one2many,,Sales Order,mail.message,
message_is_follower,Is Follower,boolean,,Sales Order,,
message_needaction,Action Needed,boolean,"If checked, new messages require your attention.",Sales Order,,
message_needaction_counter,Number of Actions,integer,Number of messages requiring action,Sales Order,,
message_partner_ids,Followers (Partners),many2many,,Sales Order,res.partner,
mrp_production_count,Count of MO generated,integer,,Sales Order,,
mrp_production_ids,Manufacturing orders associated with this sales order.,many2many,,Sales Order,mrp.production,
my_activity_date_deadline,My Activity Deadline,date,,Sales Order,,
name,Order Reference,char,,Sales Order,,True
next_invoice_date,Next Invoice,date,The next invoice will be created on this date then the period will be extended.,Sales Order,,
non_recurring_total,Total Non Recurring Revenue,monetary,,Sales Order,,
note,Terms and conditions,html,,Sales Order,,
note_order,Note Order,many2one,,Sales Order,sale.order,
only_services,Only Services,boolean,,Sales Order,,
opportunity_id,Opportunity,many2one,,Sales Order,crm.lead,
order_line,Order Lines,one2many,,Sales Order,sale.order.line,
order_log_ids,Subscription Logs,one2many,,Sales Order,sale.order.log,
origin,Source Document,char,Reference of the document that generated this sales order request,Sales Order,,
origin_order_id,First contract,many2one,,Sales Order,sale.order,
partner_credit_warning,Partner Credit Warning,text,,Sales Order,,
partner_id,Customer,many2one,,Sales Order,res.partner,True
partner_invoice_id,Invoice Address,many2one,,Sales Order,res.partner,True
partner_shipping_id,Delivery Address,many2one,,Sales Order,res.partner,True
payment_exception,Contract in exception,boolean,Automatic payment with token failed. The payment provider configuration and token should be checked,Sales Order,,
payment_term_id,Payment Terms,many2one,,Sales Order,account.payment.term,
payment_token_id,Payment Token,many2one,"If not set, the automatic payment will fail.",Sales Order,payment.token,
pending_email_template_id,Pending Email Template,many2one,The template of the pending email that must be sent asynchronously.,Sales Order,mail.template,
pending_transaction,Pending Transaction,boolean,The last transaction of the order is currently pending,Sales Order,,
percentage_satisfaction,% Happy,integer,Calculate the ratio between the number of the best ('great') ratings and the total number of ratings,Sales Order,,
picking_ids,Transfers,one2many,,Sales Order,stock.picking,
picking_policy,Shipping Policy,selection,"If you deliver all products at once, the delivery order will be scheduled based on the greatest product lead time. Otherwise, it will be based on the shortest.",Sales Order,,True
pickup_location_data,Pickup Location Data,json,,Sales Order,,
plan_id,Recurring Plan,many2one,,Sales Order,sale.subscription.plan,
prepayment_percent,Prepayment percentage,float,The percentage of the amount needed that must be paid by the customer to confirm the order.,Sales Order,,
pricelist_id,Pricelist,many2one,"If you change the pricelist, only newly added lines will be affected.",Sales Order,product.pricelist,
printnode_printed,Printnode Printed,boolean,,Sales Order,,
procurement_group_id,Procurement Group,many2one,,Sales Order,procurement.group,
purchase_order_count,Number of Purchase Order Generated,integer,,Sales Order,,
quotation_document_ids,Headers/Footers,many2many,,Sales Order,quotation.document,
rating_avg,Average Rating,float,,Sales Order,,
rating_avg_text,Rating Avg Text,selection,,Sales Order,,
rating_count,Rating count,integer,,Sales Order,,
rating_ids,Ratings,one2many,,Sales Order,rating.rating,
rating_last_feedback,Rating Last Feedback,text,,Sales Order,,
rating_last_image,Rating Last Image,binary,,Sales Order,,
rating_last_text,Rating Text,selection,,Sales Order,,
rating_last_value,Rating Last Value,float,,Sales Order,,
rating_percentage_satisfaction,Rating Satisfaction,float,,Sales Order,,
recompute_delivery_price,Delivery cost should be recomputed,boolean,,Sales Order,,
recurring_details,Recurring Details,html,,Sales Order,,
recurring_monthly,Monthly Recurring,monetary,,Sales Order,,
recurring_total,Total Recurring,monetary,,Sales Order,,
reference,Payment Ref.,char,The payment communication of this sale order.,Sales Order,,
renewal_count,Renewal Count,integer,,Sales Order,,
require_payment,Online payment,boolean,Request a online payment from the customer to confirm the order.,Sales Order,,
require_signature,Online signature,boolean,Request a online signature from the customer to confirm the order.,Sales Order,,
sale_order_option_ids,Optional Products Lines,one2many,,Sales Order,sale.order.option,
sale_order_template_id,Quotation Template,many2one,,Sales Order,sale.order.template,
shipping_weight,Shipping Weight,float,,Sales Order,,
shop_warning,Warning,char,,Sales Order,,
show_json_popover,Has late picking,boolean,,Sales Order,,
show_update_fpos,Has Fiscal Position Changed,boolean,,Sales Order,,
show_update_pricelist,Has Pricelist Changed,boolean,,Sales Order,,
signature,Signature,binary,,Sales Order,,
signed_by,Signed By,char,,Sales Order,,
signed_on,Signed On,datetime,,Sales Order,,
source_id,Source,many2one,"This is the source of the link, e.g. Search Engine, another domain, or name of email list",Sales Order,utm.source,
spreadsheet_id,Spreadsheet,many2one,,Sales Order,sale.order.spreadsheet,
spreadsheet_ids,Spreadsheets,one2many,,Sales Order,sale.order.spreadsheet,
spreadsheet_template_id,Quote calculator,many2one,,Sales Order,sale.order.spreadsheet,
starred,Show Subscription on dashboard,boolean,Whether this subscription should be displayed on the dashboard or not,Sales Order,,
starred_user_ids,Members,many2many,,Sales Order,res.users,
start_date,Start Date,date,The start date indicate when the subscription periods begin.,Sales Order,,
state,Status,selection,,Sales Order,,
subscription_child_ids,Subscription Child,one2many,,Sales Order,sale.order,
subscription_id,Parent Contract,many2one,,Sales Order,sale.order,
subscription_state,Subscription Status,selection,,Sales Order,,
tag_ids,Tags,many2many,,Sales Order,crm.tag,
tax_calculation_rounding_method,Tax Calculation Rounding Method,selection,,Sales Order,,
tax_country_id,Tax Country,many2one,,Sales Order,res.country,
tax_totals,Tax Totals,binary,,Sales Order,,
team_id,Sales Team,many2one,,Sales Order,crm.team,
team_user_id,Team Leader,many2one,,Sales Order,res.users,
terms_type,Terms & Conditions format,selection,,Sales Order,,
transaction_ids,Transactions,many2many,,Sales Order,payment.transaction,
type_name,Type Name,char,,Sales Order,,
upsell_count,Upsell Count,integer,,Sales Order,,
user_closable,Closable,boolean,Customer can close their subscriptions.,Sales Order,,
user_extend,Renew,boolean,Customer can create a renewal quotation for their subscription.,Sales Order,,
user_id,Salesperson,many2one,,Sales Order,res.users,
user_quantity,Add Products,boolean,"Allow customers to create an Upsell quote to adjust the quantity of products in their subscription.Only products that are listed as ""optional products"" can be modified.",Sales Order,,
validity_date,Expiration,date,"Validity of the order, after that you will not able to sign & pay the quotation.",Sales Order,,
warehouse_id,Warehouse,many2one,,Sales Order,stock.warehouse,
website_id,Website,many2one,Website through which this order was placed for eCommerce orders.,Sales Order,website,
website_message_ids,Website Messages,one2many,Website communication history,Sales Order,mail.message,
website_order_line,Order Lines displayed on Website,one2many,,Sales Order,sale.order.line,
write_date,Last Updated on,datetime,,Sales Order,,
write_uid,Last Updated by,many2one,,Sales Order,res.users,
