Field Name,Field Label,Field Type,Field Help,Model,Related Model,Required
selected_combo_items,Selected Combo Items,char,,Sales Order Line,,
sequence,Sequence,integer,,Sales Order Line,,
service_tracking,Create on Order,selection,,Sales Order Line,,
shop_warning,Warning,char,,Sales Order Line,,
state,Order Status,selection,,Sales Order Line,,
subscription_end_date,End Date,date,"If set in advance, the subscription will be set to renew 1 month before the date and will be closed on the date set in this field.",Sales Order Line,,
subscription_plan_id,Recurring Plan,many2one,,Sales Order Line,sale.subscription.plan,
subscription_start_date,Start Date,date,The start date indicate when the subscription periods begin.,Sales Order Line,,
tax_calculation_rounding_method,Tax calculation rounding method,selection,,Sales Order Line,,
tax_country_id,Tax Country,many2one,,Sales Order Line,res.country,
tax_id,Taxes,many2many,,Sales Order Line,account.tax,
technical_price_unit,Technical Price Unit,float,,Sales Order Line,,
translated_product_name,Translated Product Name,text,,Sales Order Line,,
untaxed_amount_invoiced,Untaxed Invoiced Amount,monetary,,Sales Order Line,,
untaxed_amount_to_invoice,Untaxed Amount To Invoice,monetary,,Sales Order Line,,
virtual_available_at_date,Virtual Available At Date,float,,Sales Order Line,,
virtual_id,Virtual,char,,Sales Order Line,,
warehouse_id,Warehouse,many2one,,Sales Order Line,stock.warehouse,
write_date,Last Updated on,datetime,,Sales Order Line,,
write_uid,Last Updated by,many2one,,Sales Order Line,res.users,
