"Field Name","Field Label","Field Type","Field Help","Model","Related Model","Dependencies"
"incoming_qty","Incoming","float","Quantity of planned incoming products.
In a context with a single Stock Location, this includes goods arriving to this Location, or any of its children.
In a context with a single Warehouse, this includes goods arriving to the Stock Location of this Warehouse, or any of its children.
Otherwise, this includes goods arriving to any Stock Location with 'internal' type.","Product Variant","",""
"invoice_policy","Invoicing Policy","selection","Ordered Quantity: Invoice quantities ordered by the customer.
Delivered Quantity: Invoice quantities delivered to the customer.","Product Variant","",""
"is_booking_fee","Is Booking Fee","boolean","","Product Variant","",""
"is_favorite","Favorite","boolean","","Product Variant","",""
"is_in_purchase_order","Is In Purchase Order","boolean","","Product Variant","",""
"is_kits","Is Kits","boolean","","Product Variant","",""
"is_product_variant","Is Product Variant","boolean","","Product Variant","",""
"is_published","Is Published","boolean","","Product Variant","",""
"is_seo_optimized","SEO optimized","boolean","","Product Variant","",""
"is_storable","Track Inventory","boolean","A storable product is a product for which you manage stock.","Product Variant","",""
"list_price","Sales Price","float","Price at which the product is sold to customers.","Product Variant","",""
"location_id","Location","many2one","","Product Variant","stock.location",""
"lot_properties_definition","Lot Properties","properties_definition","","Product Variant","",""
"lot_valuated","Valuation by Lot/Serial number","boolean","If checked, the valuation will be specific by Lot/Serial number.","Product Variant","",""
"lst_price","Sales Price","float","The sale price is managed from the product template. Click on the 'Configure Variants' button to set the extra attribute prices.","Product Variant","",""
"message_attachment_count","Attachment Count","integer","","Product Variant","",""
"message_follower_ids","Followers","one2many","","Product Variant","mail.followers",""
"message_has_error","Message Delivery error","boolean","If checked, some messages have a delivery error.","Product Variant","",""
"message_has_error_counter","Number of errors","integer","Number of messages with delivery error","Product Variant","",""
"message_has_sms_error","SMS Delivery error","boolean","If checked, some messages have a delivery error.","Product Variant","",""
"message_ids","Messages","one2many","","Product Variant","mail.message",""
"message_is_follower","Is Follower","boolean","","Product Variant","",""
"message_needaction","Action Needed","boolean","If checked, new messages require your attention.","Product Variant","",""
"message_needaction_counter","Number of Actions","integer","Number of messages requiring action","Product Variant","",""
"message_partner_ids","Followers (Partners)","many2many","","Product Variant","res.partner",""
"mrp_product_qty","Manufactured","float","","Product Variant","",""
"my_activity_date_deadline","My Activity Deadline","date","","Product Variant","",""
"name","Name","char","","Product Variant","",""
"nbr_moves_in","Nbr Moves In","integer","Number of incoming stock moves in the past 12 months","Product Variant","",""
"nbr_moves_out","Nbr Moves Out","integer","Number of outgoing stock moves in the past 12 months","Product Variant","",""
"nbr_reordering_rules","Reordering Rules","integer","","Product Variant","",""
"optional_product_ids","Optional Products","many2many","Optional Products are suggested whenever the customer hits *Add to Cart* (cross-sell strategy, e.g. for computers: warranty, software, etc.).","Product Variant","product.template",""
"orderpoint_ids","Minimum Stock Rules","one2many","","Product Variant","stock.warehouse.orderpoint",""
"out_of_stock_message","Out-of-Stock Message","html","","Product Variant","",""
"outgoing_qty","Outgoing","float","Quantity of planned outgoing products.
In a context with a single Stock Location, this includes goods leaving this Location, or any of its children.
In a context with a single Warehouse, this includes goods leaving the Stock Location of this Warehouse, or any of its children.
Otherwise, this includes goods leaving any Stock Location with 'internal' type.","Product Variant","",""
"packaging_ids","Product Packages","one2many","Gives the different ways to package the same product.","Product Variant","product.packaging",""
"partner_ref","Customer Ref","char","","Product Variant","",""
"price_extra","Variant Price Extra","float","This is the sum of the extra price of all attributes","Product Variant","",""
"pricelist_item_count","Number of price rules","integer","","Product Variant","",""
"product_catalog_product_is_in_bom","Product Catalog Product Is In Bom","boolean","","Product Variant","",""
"product_catalog_product_is_in_mo","Product Catalog Product Is In Mo","boolean","","Product Variant","",""
"product_catalog_product_is_in_sale_order","Product Catalog Product Is In Sale Order","boolean","","Product Variant","",""
"product_document_count","Documents Count","integer","","Product Variant","",""
"product_document_ids","Documents","one2many","","Product Variant","product.document",""
"product_properties","Properties","properties","","Product Variant","",""
"product_subscription_pricing_ids","Custom Subscription Pricings","one2many","","Product Variant","sale.subscription.pricing",""
"product_tag_ids","Tags","many2many","","Product Variant","product.tag",""
"product_template_attribute_value_ids","Attribute Values","many2many","","Product Variant","product.template.attribute.value",""
"product_template_image_ids","Extra Product Media","one2many","","Product Variant","product.image",""
"product_template_variant_value_ids","Variant Values","many2many","","Product Variant","product.template.attribute.value",""
"product_tmpl_id","Product Template","many2one","","Product Variant","product.template",""
"product_tooltip","Product Tooltip","char","","Product Variant","",""
"product_variant_count","# Product Variants","integer","","Product Variant","",""
"product_variant_id","Product","many2one","","Product Variant","product.product",""
"product_variant_ids","Products","one2many","","Product Variant","product.product",""
"product_variant_image_ids","Extra Variant Images","one2many","","Product Variant","product.image",""
"property_account_creditor_price_difference","Price Difference Account","many2one","This account is used in automated inventory valuation to record the price difference between a purchase order and its related vendor bill when validating this vendor bill.","Product Variant","account.account",""
"property_account_expense_id","Expense Account","many2one","Keep this field empty to use the default value from the product category. If anglo-saxon accounting with automated valuation method is configured, the expense account on the product category will be used.","Product Variant","account.account",""
"property_account_income_id","Income Account","many2one","Keep this field empty to use the default value from the product category.","Product Variant","account.account",""
"property_stock_inventory","Inventory Location","many2one","This stock location will be used, instead of the default one, as the source location for stock moves generated when you do an inventory.","Product Variant","stock.location",""
"property_stock_production","Production Location","many2one","This stock location will be used, instead of the default one, as the source location for stock moves generated by manufacturing orders.","Product Variant","stock.location",""
"public_categ_ids","Website Product Category","many2many","The product will be available in each mentioned eCommerce category. Go to Shop > Edit Click on the page and enable 'Categories' to view all eCommerce categories.","Product Variant","product.public.category",""
"purchase_line_warn","Purchase Order Line Warning","selection","Selecting the ""Warning"" option will notify user with the message, Selecting ""Blocking Message"" will throw an exception with the message and block the flow. The Message has to be written in the next field.","Product Variant","",""
"purchase_line_warn_msg","Message for Purchase Order Line","text","","Product Variant","",""
"purchase_method","Control Policy","selection","On ordered quantities: Control bills based on ordered quantities.
On received quantities: Control bills based on received quantities.","Product Variant","",""
"purchase_ok","Purchase","boolean","","Product Variant","",""
"purchase_order_line_ids","PO Lines","one2many","","Product Variant","purchase.order.line",""
"purchased_product_qty","Purchased","float","","Product Variant","",""
"putaway_rule_ids","Putaway Rules","one2many","","Product Variant","stock.putaway.rule",""
"qty_available","Quantity On Hand","float","Current quantity of products.
In a context with a single Stock Location, this includes goods stored at this Location, or any of its children.
In a context with a single Warehouse, this includes goods stored in the Stock Location of this Warehouse, or any of its children.
stored in the Stock Location of the Warehouse of this Shop, or any of its children.
Otherwise, this includes goods stored in any Stock Location with 'internal' type.","Product Variant","",""
"quantity_svl","Quantity Svl","float","","Product Variant","",""
"rating_avg","Average Rating","float","","Product Variant","",""
"rating_avg_text","Rating Avg Text","selection","","Product Variant","",""
"rating_count","Rating count","integer","","Product Variant","",""
"rating_ids","Ratings","one2many","","Product Variant","rating.rating",""
"rating_last_feedback","Rating Last Feedback","text","","Product Variant","",""
"rating_last_image","Rating Last Image","binary","","Product Variant","",""
"rating_last_text","Rating Text","selection","","Product Variant","",""
"rating_last_value","Rating Last Value","float","","Product Variant","",""
"rating_percentage_satisfaction","Rating Satisfaction","float","","Product Variant","",""
"recurring_invoice","Subscription Product","boolean","If set, confirming a sale order with this product will create a subscription","Product Variant","",""
"removal_time","Removal Date","integer","Number of days before the Expiration Date after which the goods should be removed from the stock. It will be computed on the lot/serial number.","Product Variant","",""
"reordering_max_qty","Reordering Max Qty","float","","Product Variant","",""
"reordering_min_qty","Reordering Min Qty","float","","Product Variant","",""
"responsible_id","Responsible","many2one","This user will be responsible of the next activities related to logistic operations for this product.","Product Variant","res.users",""
"route_from_categ_ids","Category Routes","many2many","","Product Variant","stock.route",""
"route_ids","Routes","many2many","Depending on the modules installed, this will allow you to define the route of the product: whether it will be bought, manufactured, replenished on order, etc.","Product Variant","stock.route",""
"sale_delay","Customer Lead Time","integer","Delivery lead time, in days. It's the number of days, promised to the customer, between the confirmation of the sales order and the delivery.","Product Variant","",""
"sale_line_warn","Sales Order Line","selection","Selecting the ""Warning"" option will notify user with the message, Selecting ""Blocking Message"" will throw an exception with the message and block the flow. The Message has to be written in the next field.","Product Variant","",""
"sale_line_warn_msg","Message for Sales Order Line","text","","Product Variant","",""
"sale_ok","Sales","boolean","","Product Variant","",""
"sales_count","Sold","float","","Product Variant","",""
"seller_ids","Vendors","one2many","","Product Variant","product.supplierinfo",""
"seo_name","Seo name","char","","Product Variant","",""
"sequence","Sequence","integer","Gives the sequence order when displaying a product list","Product Variant","",""
"service_to_purchase","Subcontract Service","boolean","If ticked, each time you sell this product through a SO, a RfQ is automatically created to buy the product. Tip: don't forget to set a vendor on the product.","Product Variant","",""
"service_tracking","Create on Order","selection","","Product Variant","",""
"service_type","Track Service","selection","Manually set quantities on order: Invoice based on the manually entered quantity, without creating an analytic account.
Timesheets on contract: Invoice based on the tracked hours on the related timesheet.
Create a task and track hours: Create a task on the sales order validation and track the work hours.","Product Variant","",""
"show_availability","Show availability Qty","boolean","","Product Variant","",""
"show_forecasted_qty_status_button","Show Forecasted Qty Status Button","boolean","","Product Variant","",""
"show_on_hand_qty_status_button","Show On Hand Qty Status Button","boolean","","Product Variant","",""
"standard_price","Cost","float","Value of the product (automatically computed in AVCO).
        Used to value the product when the purchase cost is not known (e.g. inventory adjustment).
        Used to compute margins on sale orders.","Product Variant","",""
"stock_move_ids","Stock Move","one2many","","Product Variant","stock.move",""
"stock_notification_partner_ids","Back in stock Notifications","many2many","","Product Variant","res.partner",""
"stock_quant_ids","Stock Quant","one2many","","Product Variant","stock.quant",""
"stock_valuation_layer_ids","Stock Valuation Layer","one2many","","Product Variant","stock.valuation.layer",""
"storage_category_capacity_ids","Storage Category Capacity","one2many","","Product Variant","stock.storage.category.capacity",""
"supplier_taxes_id","Purchase Taxes","many2many","Default taxes used when buying the product","Product Variant","account.tax",""
"tax_string","Tax String","char","","Product Variant","",""
"taxes_id","Sales Taxes","many2many","Default taxes used when selling the product","Product Variant","account.tax",""
"total_value","Total Value","monetary","","Product Variant","",""
"tracking","Tracking","selection","Ensure the traceability of a storable product in your warehouse.","Product Variant","",""
"type","Product Type","selection","Goods are tangible materials and merchandise you provide.
A service is a non-material product you provide.","Product Variant","",""
"uom_category_id","UoM Category","many2one","Conversion between Units of Measure can only occur if they belong to the same category. The conversion will be made based on the ratios.","Product Variant","uom.category",""
"uom_id","Unit of Measure","many2one","Default unit of measure used for all stock operations.","Product Variant","uom.uom",""
"uom_name","Unit of Measure Name","char","","Product Variant","",""
"uom_po_id","Purchase Unit","many2one","Default unit of measure used for purchase orders. It must be in the same category as the default unit of measure.","Product Variant","uom.uom",""
"use_expiration_date","Use Expiration Date","boolean","When this box is ticked, you have the possibility to specify dates to manage product expiration, on the product and on the corresponding lot/serial numbers","Product Variant","",""
"use_time","Best Before Date","integer","Number of days before the Expiration Date after which the goods starts deteriorating, without being dangerous yet. It will be computed on the lot/serial number.","Product Variant","",""
"used_in_bom_count","# BoM Where Used","integer","","Product Variant","",""
"valid_ean","Barcode is valid EAN","boolean","","Product Variant","",""
"valid_product_template_attribute_line_ids","Valid Product Attribute Lines","many2many","","Product Variant","product.template.attribute.line",""
"valuation","Inventory Valuation","selection","Manual: The accounting entries to value the inventory are not posted automatically.
        Automated: An accounting entry is automatically created to value the inventory when a product enters or leaves the company.
        ","Product Variant","",""
"value_svl","Value Svl","float","","Product Variant","",""
"variant_bom_ids","BOM Product Variants","one2many","","Product Variant","mrp.bom",""
"variant_ribbon_id","Variant Ribbon","many2one","","Product Variant","product.ribbon",""
"variant_seller_ids","Variant Seller","one2many","","Product Variant","product.supplierinfo",""
"virtual_available","Forecasted Quantity","float","Forecast quantity (computed as Quantity On Hand - Outgoing + Incoming)
In a context with a single Stock Location, this includes goods stored in this location, or any of its children.
In a context with a single Warehouse, this includes goods stored in the Stock Location of this Warehouse, or any of its children.
Otherwise, this includes goods stored in any Stock Location with 'internal' type.","Product Variant","",""
"visible_expense_policy","Re-Invoice Policy visible","boolean","","Product Variant","",""
"volume","Volume","float","","Product Variant","",""
"volume_uom_name","Volume unit of measure label","char","","Product Variant","",""
"warehouse_id","Warehouse","many2one","","Product Variant","stock.warehouse",""
"website_description","Description for the website","html","","Product Variant","",""
"website_id","Website","many2one","Restrict to a specific website.","Product Variant","website",""
"website_message_ids","Website Messages","one2many","Website communication history","Product Variant","mail.message",""
"website_meta_description","Website meta description","text","","Product Variant","",""
"website_meta_keywords","Website meta keywords","char","","Product Variant","",""
"website_meta_og_img","Website opengraph image","char","","Product Variant","",""
"website_meta_title","Website meta title","char","","Product Variant","",""
"website_published","Visible on current website","boolean","","Product Variant","",""
"website_ribbon_id","Ribbon","many2one","","Product Variant","product.ribbon",""
"website_sequence","Website Sequence","integer","Determine the display order in the Website E-commerce","Product Variant","",""
"website_size_x","Size X","integer","","Product Variant","",""
"website_size_y","Size Y","integer","","Product Variant","",""
"website_url","Website URL","char","The full URL to access the document through the website.","Product Variant","",""
"weight","Weight","float","","Product Variant","",""
"weight_uom_name","Weight unit of measure label","char","","Product Variant","",""
"write_date","Write Date","datetime","","Product Variant","",""
"write_uid","Last Updated by","many2one","","Product Variant","res.users",""
"x_aa_product_name","Product Name Custom","char","","Product Variant","",""
