"Field Name","Field Label","Field Type","Field Help","Model","Related Model","Dependencies"
"nbr_reordering_rules","Reordering Rules","integer","","Product","",""
"optional_product_ids","Optional Products","many2many","Optional Products are suggested whenever the customer hits *Add to Cart* (cross-sell strategy, e.g. for computers: warranty, software, etc.).","Product","product.template",""
"out_of_stock_message","Out-of-Stock Message","html","","Product","",""
"outgoing_qty","Outgoing","float","","Product","",""
"packaging_ids","Product Packages","one2many","Gives the different ways to package the same product.","Product","product.packaging",""
"pricelist_item_count","Number of price rules","integer","","Product","",""
"product_document_count","Documents Count","integer","","Product","",""
"product_document_ids","Documents","one2many","","Product","product.document",""
"product_properties","Properties","properties","","Product","",""
"product_subscription_pricing_ids","Custom Subscription Pricings","one2many","","Product","sale.subscription.pricing",""
"product_tag_ids","Tags","many2many","","Product","product.tag",""
"product_template_image_ids","Extra Product Media","one2many","","Product","product.image",""
"product_tooltip","Product Tooltip","char","","Product","",""
"product_variant_count","# Product Variants","integer","","Product","",""
"product_variant_id","Product","many2one","","Product","product.product",""
"product_variant_ids","Products","one2many","","Product","product.product",""
"property_account_creditor_price_difference","Price Difference Account","many2one","This account is used in automated inventory valuation to record the price difference between a purchase order and its related vendor bill when validating this vendor bill.","Product","account.account",""
"property_account_expense_id","Expense Account","many2one","Keep this field empty to use the default value from the product category. If anglo-saxon accounting with automated valuation method is configured, the expense account on the product category will be used.","Product","account.account",""
"property_account_income_id","Income Account","many2one","Keep this field empty to use the default value from the product category.","Product","account.account",""
"property_stock_inventory","Inventory Location","many2one","This stock location will be used, instead of the default one, as the source location for stock moves generated when you do an inventory.","Product","stock.location",""
"property_stock_production","Production Location","many2one","This stock location will be used, instead of the default one, as the source location for stock moves generated by manufacturing orders.","Product","stock.location",""
"public_categ_ids","Website Product Category","many2many","The product will be available in each mentioned eCommerce category. Go to Shop > Edit Click on the page and enable 'Categories' to view all eCommerce categories.","Product","product.public.category",""
"purchase_line_warn","Purchase Order Line Warning","selection","Selecting the ""Warning"" option will notify user with the message, Selecting ""Blocking Message"" will throw an exception with the message and block the flow. The Message has to be written in the next field.","Product","",""
"purchase_line_warn_msg","Message for Purchase Order Line","text","","Product","",""
"purchase_method","Control Policy","selection","On ordered quantities: Control bills based on ordered quantities.
On received quantities: Control bills based on received quantities.","Product","",""
"purchase_ok","Purchase","boolean","","Product","",""
"purchased_product_qty","Purchased","float","","Product","",""
"qty_available","Quantity On Hand","float","","Product","",""
"rating_avg","Average Rating","float","","Product","",""
"rating_avg_text","Rating Avg Text","selection","","Product","",""
"rating_count","Rating count","integer","","Product","",""
"rating_ids","Ratings","one2many","","Product","rating.rating",""
"rating_last_feedback","Rating Last Feedback","text","","Product","",""
"rating_last_image","Rating Last Image","binary","","Product","",""
"rating_last_text","Rating Text","selection","","Product","",""
"rating_last_value","Rating Last Value","float","","Product","",""
"rating_percentage_satisfaction","Rating Satisfaction","float","","Product","",""
"recurring_invoice","Subscription Product","boolean","If set, confirming a sale order with this product will create a subscription","Product","",""
"removal_time","Removal Date","integer","Number of days before the Expiration Date after which the goods should be removed from the stock. It will be computed on the lot/serial number.","Product","",""
"reordering_max_qty","Reordering Max Qty","float","","Product","",""
"reordering_min_qty","Reordering Min Qty","float","","Product","",""
"responsible_id","Responsible","many2one","This user will be responsible of the next activities related to logistic operations for this product.","Product","res.users",""
"route_from_categ_ids","Category Routes","many2many","","Product","stock.route",""
