"Field Name","Field Label","Field Type","Field Help","Model","Related Model","Dependencies"
"is_company","Is a Company","boolean","Check if the contact is a company, otherwise it is a person","Contact","",""
"is_peppol_edi_format","Is Peppol Edi Format","boolean","","Contact","",""
"is_public","Is Public","boolean","","Contact","",""
"is_published","Is Published","boolean","","Contact","",""
"is_seo_optimized","SEO optimized","boolean","","Contact","",""
"is_ubl_format","Is Ubl Format","boolean","","Contact","",""
"journal_item_count","Journal Items","integer","","Contact","",""
"lang","Language","selection","All the emails and documents sent to this contact will be translated in this language.","Contact","",""
"last_website_so_id","Last Online Sales Order","many2one","","Contact","sale.order",""
"meeting_count","# Meetings","integer","","Contact","",""
"meeting_ids","Meetings","many2many","","Contact","calendar.event",""
"message_attachment_count","Attachment Count","integer","","Contact","",""
"message_bounce","Bounce","integer","Counter of the number of bounced emails for this contact","Contact","",""
"message_follower_ids","Followers","one2many","","Contact","mail.followers",""
"message_has_error","Message Delivery error","boolean","If checked, some messages have a delivery error.","Contact","",""
"message_has_error_counter","Number of errors","integer","Number of messages with delivery error","Contact","",""
"message_has_sms_error","SMS Delivery error","boolean","If checked, some messages have a delivery error.","Contact","",""
"message_ids","Messages","one2many","","Contact","mail.message",""
"message_is_follower","Is Follower","boolean","","Contact","",""
"message_needaction","Action Needed","boolean","If checked, new messages require your attention.","Contact","",""
"message_needaction_counter","Number of Actions","integer","Number of messages requiring action","Contact","",""
"message_partner_ids","Followers (Partners)","many2many","","Contact","res.partner",""
"mobile","Mobile","char","","Contact","",""
"mobile_blacklisted","Blacklisted Phone Is Mobile","boolean","Indicates if a blacklisted sanitized phone number is a mobile number. Helps distinguish which number is blacklisted             when there is both a mobile and phone field in a model.","Contact","",""
"my_activity_date_deadline","My Activity Deadline","date","","Contact","",""
"name","Name","char","","Contact","",""
"ocn_token","OCN Token","char","Used for sending notification to registered devices","Contact","",""
"on_time_rate","On-Time Delivery Rate","float","Over the past x days; the number of products received on time divided by the number of ordered products.x is either the System Parameter purchase_stock.on_time_delivery_days or the default 365","Contact","",""
"online_partner_information","Online Partner Information","char","","Contact","",""
"opportunity_count","Opportunity Count","integer","","Contact","",""
"opportunity_ids","Opportunities","one2many","","Contact","crm.lead",""
"parent_id","Related Company","many2one","","Contact","res.partner",""
"parent_name","Parent name","char","","Contact","",""
"partner_company_registry_placeholder","Partner Company Registry Placeholder","char","","Contact","",""
"partner_gid","Company database ID","integer","","Contact","",""
"partner_latitude","Geo Latitude","float","","Contact","",""
"partner_longitude","Geo Longitude","float","","Contact","",""
"partner_share","Share Partner","boolean","Either customer (not a user), either shared user. Indicated the current partner is a customer without access or with a limited access created for sharing data.","Contact","",""
"partner_vat_placeholder","Partner Vat Placeholder","char","","Contact","",""
"payment_token_count","Payment Token Count","integer","","Contact","",""
"payment_token_ids","Payment Tokens","one2many","","Contact","payment.token",""
"peppol_eas","Peppol e-address (EAS)","selection","Code used to identify the Endpoint for BIS Billing 3.0 and its derivatives.
             List available at https://docs.peppol.eu/poacc/billing/3.0/codelist/eas/","Contact","",""
"peppol_endpoint","Peppol Endpoint","char","Unique identifier used by the BIS Billing 3.0 and its derivatives, also known as 'Endpoint ID'.","Contact","",""
"perform_vies_validation","Perform Vies Validation","boolean","","Contact","",""
"phone","Phone","char","","Contact","",""
"phone_blacklisted","Blacklisted Phone is Phone","boolean","Indicates if a blacklisted sanitized phone number is a phone number. Helps distinguish which number is blacklisted             when there is both a mobile and phone field in a model.","Contact","",""
"phone_mobile_search","Phone/Mobile","char","","Contact","",""
"phone_sanitized","Sanitized Number","char","Field used to store sanitized phone number. Helps speeding up searches and comparisons.","Contact","",""
"phone_sanitized_blacklisted","Phone Blacklisted","boolean","If the sanitized phone number is on the blacklist, the contact won't receive mass mailing sms anymore, from any list","Contact","",""
"picking_warn","Stock Picking","selection","Selecting the ""Warning"" option will notify user with the message, Selecting ""Blocking Message"" will throw an exception with the message and block the flow. The Message has to be written in the next field.","Contact","",""
"picking_warn_msg","Message for Stock Picking","text","","Contact","",""
"property_account_payable_id","Account Payable","many2one","This account will be used instead of the default one as the payable account for the current partner","Contact","account.account",""
"property_account_position_id","Fiscal Position","many2one","The fiscal position determines the taxes/accounts used for this contact.","Contact","account.fiscal.position",""
"property_account_receivable_id","Account Receivable","many2one","This account will be used instead of the default one as the receivable account for the current partner","Contact","account.account",""
"property_delivery_carrier_id","Delivery Method","many2one","Default delivery method used in sales orders.","Contact","delivery.carrier",""
"property_inbound_payment_method_line_id","Property Inbound Payment Method Line","many2one","Preferred payment method when selling to this customer. This will be set by default on all incoming payments created for this customer","Contact","account.payment.method.line",""
"property_outbound_payment_method_line_id","Property Outbound Payment Method Line","many2one","Preferred payment method when buying from this vendor. This will be set by default on all outgoing payments created for this vendor","Contact","account.payment.method.line",""
"property_payment_term_id","Customer Payment Terms","many2one","This payment term will be used instead of the default one for sales orders and customer invoices","Contact","account.payment.term",""
"property_product_pricelist","Pricelist","many2one","This pricelist will be used, instead of the default one, for sales to the current partner","Contact","product.pricelist",""
"property_purchase_currency_id","Supplier Currency","many2one","This currency will be used, instead of the default one, for purchases from the current partner","Contact","res.currency",""
"property_stock_customer","Customer Location","many2one","The stock location used as destination when sending goods to this contact.","Contact","stock.location",""
"property_stock_supplier","Vendor Location","many2one","The stock location used as source when receiving goods from this contact.","Contact","stock.location",""
"property_supplier_payment_term_id","Vendor Payment Terms","many2one","This payment term will be used instead of the default one for purchase orders and vendor bills","Contact","account.payment.term",""
"purchase_line_ids","Purchase Lines","one2many","","Contact","purchase.order.line",""
"purchase_order_count","Purchase Order Count","integer","","Contact","",""
"purchase_warn","Purchase Order Warning","selection","Selecting the ""Warning"" option will notify user with the message, Selecting ""Blocking Message"" will throw an exception with the message and block the flow. The Message has to be written in the next field.","Contact","",""
"purchase_warn_msg","Message for Purchase Order","text","","Contact","",""
"rating_ids","Ratings","one2many","","Contact","rating.rating",""
"receipt_reminder_email","Receipt Reminder","boolean","Automatically send a confirmation email to the vendor X days before the expected receipt date, asking him to confirm the exact date.","Contact","",""
"ref","Reference","char","","Contact","",""
"ref_company_ids","Companies that refers to partner","one2many","","Contact","res.company",""
"reminder_date_before_receipt","Days Before Receipt","integer","Number of days to send reminder email before the promised receipt date","Contact","",""
"sale_order_count","Sale Order Count","integer","","Contact","",""
"sale_order_ids","Sales Order","one2many","","Contact","sale.order",""
"sale_warn","Sales Warnings","selection","Selecting the ""Warning"" option will notify user with the message, Selecting ""Blocking Message"" will throw an exception with the message and block the flow. The Message has to be written in the next field.","Contact","",""
"sale_warn_msg","Message for Sales Order","text","","Contact","",""
"same_company_registry_partner_id","Partner with same Company Registry","many2one","","Contact","res.partner",""
"same_vat_partner_id","Partner with same Tax ID","many2one","","Contact","res.partner",""
"self","Self","many2one","","Contact","res.partner",""
"seo_name","Seo name","char","","Contact","",""
"show_credit_limit","Show Credit Limit","boolean","","Contact","",""
"signup_type","Signup Token Type","char","","Contact","",""
"specific_property_product_pricelist","Specific Property Product Pricelist","many2one","","Contact","product.pricelist",""
"starred_message_ids","Starred Message","many2many","","Contact","mail.message",""
"state_id","State","many2one","","Contact","res.country.state",""
"static_map_url","Static Map Url","char","","Contact","",""
"static_map_url_is_valid","Static Map Url Is Valid","boolean","","Contact","",""
"street","Street","char","","Contact","",""
"street2","Street2","char","","Contact","",""
"subscription_count","Subscriptions","integer","","Contact","",""
"supplier_invoice_count","# Vendor Bills","integer","","Contact","",""
"supplier_rank","Supplier Rank","integer","","Contact","",""
"title","Title","many2one","","Contact","res.partner.title",""
"total_all_due","Total All Due","monetary","","Contact","",""
"total_all_overdue","Total All Overdue","monetary","","Contact","",""
"total_due","Total Due","monetary","","Contact","",""
"total_invoiced","Total Invoiced","monetary","","Contact","",""
"total_overdue","Total Overdue","monetary","","Contact","",""
"trust","Degree of trust you have in this debtor","selection","","Contact","",""
"type","Address Type","selection","","Contact","",""
"tz","Timezone","selection","When printing documents and exporting/importing data, time values are computed according to this timezone.
If the timezone is not set, UTC (Coordinated Universal Time) is used.
Anywhere else, time values are computed according to the time offset of your web client.","Contact","",""
"tz_offset","Timezone offset","char","","Contact","",""
"unpaid_invoice_ids","Unpaid Invoice","one2many","","Contact","account.move",""
"unpaid_invoices_count","Unpaid Invoices Count","integer","","Contact","",""
"unreconciled_aml_ids","Unreconciled Aml","one2many","","Contact","account.move.line",""
"upcoming_appointment_ids","Upcoming Appointments","many2many","","Contact","calendar.event",""
"use_partner_credit_limit","Partner Limit","boolean","Set a value greater than 0.0 to activate a credit limit check","Contact","",""
"user_id","Salesperson","many2one","The internal user in charge of this contact.","Contact","res.users",""
"user_ids","Users","one2many","","Contact","res.users",""
"vat","Tax ID","char","The Tax Identification Number. Values here will be validated based on the country format. You can use '/' to indicate that the partner is not subject to tax.","Contact","",""
"vat_label","Tax ID Label","char","","Contact","",""
"vies_valid","Intra-Community Valid","boolean","European VAT numbers are automatically checked on the VIES database.","Contact","",""
"vies_vat_to_check","Vies Vat To Check","char","","Contact","",""
"visitor_ids","Visitors","one2many","","Contact","website.visitor",""
"website","Website Link","char","","Contact","",""
"website_description","Website Partner Full Description","html","","Contact","",""
"website_id","Website","many2one","Restrict to a specific website.","Contact","website",""
"website_message_ids","Website Messages","one2many","Website communication history","Contact","mail.message",""
"website_meta_description","Website meta description","text","","Contact","",""
"website_meta_keywords","Website meta keywords","char","","Contact","",""
"website_meta_og_img","Website opengraph image","char","","Contact","",""
"website_meta_title","Website meta title","char","","Contact","",""
"website_published","Visible on current website","boolean","","Contact","",""
"website_short_description","Website Partner Short Description","text","","Contact","",""
"website_url","Website URL","char","The full URL to access the document through the website.","Contact","",""
"write_date","Last Updated on","datetime","","Contact","",""
"write_uid","Last Updated by","many2one","","Contact","res.users",""
"x_aa_res_partner_account","Exact account","char","","Contact","",""
"x_aa_res_partner_accountmaincontract","Exact account main contract","char","","Contact","",""
"x_aa_res_partner_allowmailing","Exact allow mailing","boolean","","Contact","",""
"x_aa_res_partner_birth_place","Exact birth place","char","","Contact","",""
"x_aa_res_partner_birthday","Exact birthday","date","","Contact","",""
"x_aa_res_partner_businessfax","Exact business fax","char","","Contact","",""
"x_aa_res_partner_businessphoneextension","Exact business phone extension","char","","Contact","",""
"x_aa_res_partner_code","Exact code","integer","","Contact","",""
"x_aa_res_partner_creator","Exact creator","char","","Contact","",""
"x_aa_res_partner_creatorfullname","Exact creator full name","char","","Contact","",""
"x_aa_res_partner_customfield","Exact custom field","char","","Contact","",""
